team1,team2,winner,Margin,ground,Match_id,scorecard_href
RCB,LSG,LSG,28 runs,Bengaluru,Match #15,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-lucknow-super-giants-15th-match-1422133/full-scorecard
DC,KKR,KKR,106 runs,Visakhapatnam,Match #16,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-kolkata-knight-riders-16th-match-1422134/full-scorecard
GT,PBKS,PBKS,3 wickets,Ahmedabad,Match #17,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-punjab-kings-17th-match-1422135/full-scorecard
CSK,SRH,SRH,6 wickets,Hyderabad,Match #18,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-chennai-super-kings-18th-match-1422136/full-scorecard
RCB,RR,RR,6 wickets,Jaipur,Match #19,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-royal-challengers-bengaluru-19th-match-1422137/full-scorecard
DC,MI,MI,29 runs,Wankhede,Match #20,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-delhi-capitals-20th-match-1422138/full-scorecard
GT,LSG,LSG,33 runs,Lucknow,Match #21,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-gujarat-titans-21st-match-1422139/full-scorecard
KKR,CSK,CSK,7 wickets,Chennai,Match #22,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-kolkata-knight-riders-22nd-match-1426260/full-scorecard
PBKS,SRH,SRH,2 runs,Mullanpur,Match #23,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-sunrisers-hyderabad-23rd-match-1426261/full-scorecard
RR,GT,GT,3 wickets,Jaipur,Match #24,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-gujarat-titans-24th-match-1426262/full-scorecard
RCB,MI,MI,7 wickets,Wankhede,Match #25,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-royal-challengers-bengaluru-25th-match-1426263/full-scorecard
LSG,DC,DC,6 wickets,Lucknow,Match #26,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-delhi-capitals-26th-match-1426264/full-scorecard
PBKS,RR,RR,3 wickets,Mullanpur,Match #27,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-rajasthan-royals-27th-match-1426265/full-scorecard
LSG,KKR,KKR,8 wickets,Eden Gardens,Match #28,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-lucknow-super-giants-28th-match-1426266/full-scorecard
MI,CSK,CSK,20 runs,Wankhede,Match #29,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/mumbai-indians-vs-chennai-super-kings-29th-match-1426267/full-scorecard
RCB,SRH,SRH,25 runs,Bengaluru,Match #30,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/royal-challengers-bengaluru-vs-sunrisers-hyderabad-30th-match-1426268/full-scorecard
KKR,RR,RR,2 wickets,Eden Gardens,Match #31,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-rajasthan-royals-31st-match-1426269/full-scorecard
GT,DC,DC,6 wickets,Ahmedabad,Match #32,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-delhi-capitals-32nd-match-1426270/full-scorecard
PBKS,MI,MI,9 runs,Mullanpur,Match #33,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-mumbai-indians-33rd-match-1426271/full-scorecard
CSK,LSG,LSG,8 wickets,Lucknow,Match #34,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-chennai-super-kings-34th-match-1426272/full-scorecard
DC,SRH,SRH,67 runs,Delhi,Match #35,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-sunrisers-hyderabad-35th-match-1426273/full-scorecard
RCB,KKR,KKR,1 run,Eden Gardens,Match #36,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-royal-challengers-bengaluru-36th-match-1426274/full-scorecard
PBKS,GT,GT,3 wickets,Mullanpur,Match #37,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/punjab-kings-vs-gujarat-titans-37th-match-1426275/full-scorecard
MI,RR,RR,9 wickets,Jaipur,Match #38,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/rajasthan-royals-vs-mumbai-indians-38th-match-1426276/full-scorecard
CSK,LSG,LSG,6 wickets,Chennai,Match #39,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/chennai-super-kings-vs-lucknow-super-giants-39th-match-1426277/full-scorecard
GT,DC,DC,4 runs,Delhi,Match #40,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-gujarat-titans-40th-match-1426278/full-scorecard
SRH,RCB,RCB,35 runs,Hyderabad,Match #41,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/sunrisers-hyderabad-vs-royal-challengers-bengaluru-41st-match-1426279/full-scorecard
KKR,PBKS,PBKS,8 wickets,Eden Gardens,Match #42,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/kolkata-knight-riders-vs-punjab-kings-42nd-match-1426280/full-scorecard
MI,DC,DC,10 runs,Delhi,Match #43,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/delhi-capitals-vs-mumbai-indians-43rd-match-1426281/full-scorecard
LSG,RR,RR,7 wickets,Lucknow,Match #44,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/lucknow-super-giants-vs-rajasthan-royals-44th-match-1426282/full-scorecard
GT,RCB,RCB,9 wickets,Ahmedabad,Match #45,https://www.espncricinfo.com/series/indian-premier-league-2024-1410320/gujarat-titans-vs-royal-challengers-bengaluru-45th-match-1426283/full-scorecard
